Epoch: [0][0/126]	Time 1.633 (1.633)	Data 1.473 (1.473)	Loss 0.569629490 (0.569629490)	
Epoch: [0][25/126]	Time 1.595 (1.585)	Data 1.446 (1.436)	Loss 0.019974884 (0.094444508)	
Epoch: [0][50/126]	Time 1.584 (1.584)	Data 1.436 (1.436)	Loss 0.003894411 (0.051522832)	
Epoch: [0][75/126]	Time 1.590 (1.583)	Data 1.441 (1.434)	Loss 0.001363689 (0.035753278)	
Epoch: [0][100/126]	Time 1.571 (1.582)	Data 1.422 (1.434)	Loss 0.000933412 (0.027607501)	
Epoch: [0][125/126]	Time 0.621 (1.574)	Data 0.540 (1.426)	Loss 0.003887348 (0.022736674)	
Epoch: [1][0/126]	Time 1.607 (1.607)	Data 1.459 (1.459)	Loss 0.000888156 (0.000888156)	
Epoch: [1][25/126]	Time 1.571 (1.579)	Data 1.422 (1.431)	Loss 0.000956619 (0.002980308)	
Epoch: [1][50/126]	Time 1.573 (1.579)	Data 1.425 (1.431)	Loss 0.001277595 (0.002316970)	
Epoch: [1][75/126]	Time 1.577 (1.579)	Data 1.428 (1.431)	Loss 0.001322331 (0.002136418)	
Epoch: [1][100/126]	Time 1.577 (1.579)	Data 1.429 (1.431)	Loss 0.001068441 (0.002117861)	
Epoch: [1][125/126]	Time 0.623 (1.572)	Data 0.542 (1.423)	Loss 0.000649568 (0.001896371)	
Epoch: [2][0/126]	Time 1.576 (1.576)	Data 1.427 (1.427)	Loss 0.000973066 (0.000973066)	
Epoch: [2][25/126]	Time 1.568 (1.577)	Data 1.418 (1.429)	Loss 0.000486548 (0.000915703)	
Epoch: [2][50/126]	Time 1.575 (1.578)	Data 1.426 (1.430)	Loss 0.000542802 (0.001008207)	
Epoch: [2][75/126]	Time 1.579 (1.578)	Data 1.430 (1.429)	Loss 0.001062047 (0.000983648)	
Epoch: [2][100/126]	Time 1.592 (1.579)	Data 1.444 (1.430)	Loss 0.003799054 (0.001019792)	
Epoch: [2][125/126]	Time 0.619 (1.571)	Data 0.538 (1.423)	Loss 0.000724294 (0.001033116)	
Epoch: [3][0/126]	Time 1.577 (1.577)	Data 1.429 (1.429)	Loss 0.000854395 (0.000854395)	
Epoch: [3][25/126]	Time 1.578 (1.578)	Data 1.429 (1.429)	Loss 0.001151890 (0.000799566)	
Epoch: [3][50/126]	Time 1.574 (1.577)	Data 1.426 (1.428)	Loss 0.000482899 (0.000915930)	
Epoch: [3][75/126]	Time 1.572 (1.579)	Data 1.423 (1.430)	Loss 0.000623999 (0.000948281)	
Epoch: [3][100/126]	Time 1.586 (1.579)	Data 1.438 (1.430)	Loss 0.000724906 (0.000941575)	
Epoch: [3][125/126]	Time 0.623 (1.571)	Data 0.542 (1.423)	Loss 0.001797440 (0.000919282)	
Epoch: [4][0/126]	Time 1.588 (1.588)	Data 1.439 (1.439)	Loss 0.000398285 (0.000398285)	
Epoch: [4][25/126]	Time 1.576 (1.582)	Data 1.427 (1.433)	Loss 0.000934015 (0.000698825)	
Epoch: [4][50/126]	Time 1.579 (1.582)	Data 1.430 (1.433)	Loss 0.000832798 (0.000675039)	
Epoch: [4][75/126]	Time 1.578 (1.580)	Data 1.429 (1.432)	Loss 0.000480751 (0.000650975)	
Epoch: [4][100/126]	Time 1.580 (1.581)	Data 1.432 (1.432)	Loss 0.000855675 (0.000635904)	
Epoch: [4][125/126]	Time 0.621 (1.573)	Data 0.540 (1.425)	Loss 0.000565716 (0.000605890)	
Epoch: [5][0/126]	Time 1.605 (1.605)	Data 1.456 (1.456)	Loss 0.000710694 (0.000710694)	
Epoch: [5][25/126]	Time 1.595 (1.585)	Data 1.446 (1.437)	Loss 0.000548813 (0.000635528)	
Epoch: [5][50/126]	Time 1.571 (1.582)	Data 1.423 (1.433)	Loss 0.000510035 (0.000576683)	
Epoch: [5][75/126]	Time 1.574 (1.583)	Data 1.426 (1.435)	Loss 0.000564440 (0.000653269)	
Epoch: [5][100/126]	Time 1.585 (1.582)	Data 1.436 (1.433)	Loss 0.000368323 (0.000622434)	
Epoch: [5][125/126]	Time 0.612 (1.573)	Data 0.531 (1.425)	Loss 0.001318251 (0.000621394)	
Epoch: [6][0/126]	Time 1.597 (1.597)	Data 1.448 (1.448)	Loss 0.000474442 (0.000474442)	
Epoch: [6][25/126]	Time 1.601 (1.584)	Data 1.452 (1.435)	Loss 0.000394884 (0.000561582)	
Epoch: [6][50/126]	Time 1.581 (1.580)	Data 1.433 (1.432)	Loss 0.000424969 (0.000572587)	
Epoch: [6][75/126]	Time 1.575 (1.582)	Data 1.427 (1.433)	Loss 0.000978578 (0.000612234)	
Epoch: [6][100/126]	Time 1.583 (1.581)	Data 1.434 (1.432)	Loss 0.000532186 (0.000604883)	
Epoch: [6][125/126]	Time 0.615 (1.573)	Data 0.534 (1.425)	Loss 0.000781832 (0.000621621)	
Epoch: [7][0/126]	Time 1.582 (1.582)	Data 1.434 (1.434)	Loss 0.000521235 (0.000521235)	
Epoch: [7][25/126]	Time 1.586 (1.579)	Data 1.438 (1.430)	Loss 0.000378395 (0.000483187)	
Epoch: [7][50/126]	Time 1.567 (1.580)	Data 1.418 (1.431)	Loss 0.000493466 (0.000508033)	
Epoch: [7][75/126]	Time 1.588 (1.580)	Data 1.438 (1.431)	Loss 0.000465833 (0.000516767)	
Epoch: [7][100/126]	Time 1.585 (1.580)	Data 1.437 (1.431)	Loss 0.000509589 (0.000528723)	
Epoch: [7][125/126]	Time 0.614 (1.572)	Data 0.532 (1.424)	Loss 0.000461103 (0.000526566)	
Epoch: [8][0/126]	Time 1.590 (1.590)	Data 1.441 (1.441)	Loss 0.000591337 (0.000591337)	
Epoch: [8][25/126]	Time 1.571 (1.580)	Data 1.422 (1.431)	Loss 0.000615706 (0.000498885)	
Epoch: [8][50/126]	Time 1.613 (1.581)	Data 1.465 (1.433)	Loss 0.000488638 (0.000491216)	
Epoch: [8][75/126]	Time 1.568 (1.582)	Data 1.419 (1.433)	Loss 0.000459561 (0.000487158)	
Epoch: [8][100/126]	Time 1.576 (1.581)	Data 1.428 (1.432)	Loss 0.000452890 (0.000486886)	
